Country,Year,Selector1,Weeklywage,Selector2
United States,1994,Overall,592,Overall_UM
United States,1995,Overall,602,Overall_UM
United States,1996,Overall,615,Overall_UM
United States,1997,Overall,640,Overall_UM
United States,1998,Overall,659,Overall_UM
United States,1999,Overall,672,Overall_UM
United States,2000,Overall,696,Overall_UM
United States,2001,Overall,717,Overall_UM
United States,2002,Overall,740,Overall_UM
United States,2003,Overall,760,Overall_UM
United States,2004,Overall,781,Overall_UM
United States,2005,Overall,801,Overall_UM
United States,2006,Overall,833,Overall_UM
United States,2007,Overall,863,Overall_UM
United States,2008,Overall,886,Overall_UM
United States,2009,Overall,908,Overall_UM
United States,2010,Overall,917,Overall_UM
United States,2011,Overall,938,Overall_UM
United States,2012,Overall,943,Overall_UM
United States,2013,Overall,950,Overall_UM
United States,2014,Overall,970,Overall_UM
United States,2015,Overall,980,Overall_UM
United States,2016,Overall,1004,Overall_UM
United States,2017,Overall,1041,Overall_UM
United States,2018,Overall,1051,Overall_UM
United States,2019,Overall,1095,Overall_UM
United States,2020,Overall,1144,Overall_UM
United States,2021,Overall,1169,Overall_UM
United States,2022,Overall,1059,Overall_UM
United States,1994,Overall,432,Overall_NUM
United States,1995,Overall,447,Overall_NUM
United States,1996,Overall,462,Overall_NUM
United States,1997,Overall,478,Overall_NUM
United States,1998,Overall,499,Overall_NUM
United States,1999,Overall,516,Overall_NUM
United States,2000,Overall,542,Overall_NUM
United States,2001,Overall,573,Overall_NUM
United States,2002,Overall,587,Overall_NUM
United States,2003,Overall,599,Overall_NUM
United States,2004,Overall,612,Overall_NUM
United States,2005,Overall,622,Overall_NUM
United States,2006,Overall,642,Overall_NUM
United States,2007,Overall,663,Overall_NUM
United States,2008,Overall,691,Overall_NUM
United States,2009,Overall,710,Overall_NUM
United States,2010,Overall,717,Overall_NUM
United States,2011,Overall,729,Overall_NUM
United States,2012,Overall,742,Overall_NUM
United States,2013,Overall,750,Overall_NUM
United States,2014,Overall,763,Overall_NUM
United States,2015,Overall,776,Overall_NUM
United States,2016,Overall,802,Overall_NUM
United States,2017,Overall,829,Overall_NUM
United States,2018,Overall,860,Overall_NUM
United States,2019,Overall,892,Overall_NUM
United States,2020,Overall,958,Overall_NUM
United States,2021,Overall,975,Overall_NUM
United States,2022,Overall,1029,Overall_NUM
United States,1994,Gender,621,Men_UM
United States,1995,Gender,640,Men_UM
United States,1996,Gender,653,Men_UM
United States,1997,Gender,683,Men_UM
United States,1998,Gender,699,Men_UM
United States,1999,Gender,711,Men_UM
United States,2000,Gender,739,Men_UM
